Descricao,V.Venda
"REFIL VELCRO 7""",11.0
REJUNTE BRANCO,7.0
SAL AZEDO,49.0
SERRA 250MM CONTINUA VERDE,466.0
SERRA 250MM SEGMENTADA VERDE,474.0
SERRA 260 MM CONTINUA MARMOGLASS AZUL,341.0
SERRA 300MM CONTINUA VERDE,562.0
SERRA 350MM CONT. MARMOGLASS AZUL,385.0
SERRA 350MM CONT. NANOGLASS VERMELHA,480.0
SERRA 350MM CONT. QUARTZITO,600.0
SERRA 350MM CONT. SILENCIOSA VERDE,622.0
SERRA 350MM DEKTON COM FLANGE VERDE,620.0
SERRA 350MM SEGMENTADA FLASH,320.0
SERRA 350MM SEGMENTADA SILENCIOSA LSS5,360.0
SERRA 350MM SEGMENTADA SILENCIOSA PREMIUM,400.0
SERRA 350MM SEGMENTADA SILENCIOSA VERDE,648.0
SERRA MARMORE ELETRICA MAXTOOL,520.0
SIFÃO,7.0
SIFAO PRETO,11.0
SILICONE ACETICO INCOLOR,15.0
SILICONE NEUTRO BRANCO,20.0
SILICONE NEUTRO CINZA,20.0
SOQUETE MAGNETICO 65 X 13,9.0
SOQUETE MAGNETICO 65 X 7/16,8.0
SUPER COLOR QUARTZO BELLINZONI,331.0
SUPERBORDAS INCOLOR BELLINZONI,129.0
SUPERBORDAS PRETO BELLINZONI,139.0
TAF GEL BELLINZONI,71.0
TALHADEIRA SDS MTX,20.0
TALHADEIRA SDS MTX LARGA,24.0
TANQUE BR CUBAS 40X34 AÇO 201 ESC,200.0
TANQUE BR CUBAS 40X34 AÇO 304 AB,260.0
TANQUE BR CUBAS 40X34 AÇO 304 ESC,299.0
TANQUE BR CUBAS 40X40 AÇO 304 ESC,260.0
TANQUE BR CUBAS 50X40 AÇO 304 AB,356.0
TANQUE BR CUBAS 50X40 AÇO 304 ESC,279.0
TANQUE IMPORTADO 50X40 AÇO 304 AB,308.0
TANQUE IMPORTADO 50X40 AÇO 304 ESC,308.0
TANQUE NEW STEEL 40X34 AÇO 304 AB,222.0
TANQUE NEW STEEL 40X34 AÇO 304 ES,222.0
TANQUE NEW STEEL 40X40 AÇO 304 AB,241.0
TANQUE NEW STEEL 40X40 AÇO 304 ES,241.0
TANQUE TECNOCUBA 34X40 AÇO 304 AB,339.0
TANQUE TECNOCUBA 40X34 AÇO 304 AB,241.0
TANQUE TECNOCUBA 40X40 AÇO 304 AB,289.0
TANQUE TRAMONTINA 40X35 AÇO 304 AC,395.0
TANQUE TRAMONTINA 40X40 AÇO 304 AB,712.0
TANQUE TRAMONTINA 40X40 AÇO 304 AC,519.0
TANQUE TRAMONTINA 50X40 AÇO 304 AB,729.0
TANQUE TRAMONTINA 50X40 AÇO 304 ESC,464.0
TITANIUM KNIFE GRADE EXTRA CLEAR,290.0
TORNEIRA COZINHA,224.0
TORNEIRA LAVATÓRIO CASCATA CROMADA,134.0
TORNEIRA LAVATÓRIO CASCATA CROMADA BICA ALTA,201.0
TORNEIRA LAVATÓRIO CASCATA PRETA,134.0
TORNEIRA LAVATÓRIO MONOBLOCO CROMADA,134.0
TOTAL BLACK BELLINZONI,206.0
TRENA 5 METROS,16.0
VALVULA 3.1/2 PINO METAL,20.0
VALVULA 3.1/2 PINO PRETO,11.0
VALVULA 3.1/2 TRAMONTINA,42.0
VALVULA 4.1/2 TRAMONTINA,74.0
VALVULA BR 4.1/2,16.0
VALVULA BR 4.1/2 COM CESTO,31.0
VALVULA LAVATORIO CLICK,41.0
VALVULA LAVATORIO CLICK 1.1/4,39.0
VALVULA LAVATORIO CLICK PRETA,41.0
VALVULA LAVATORIO FERRO,16.0
VALVULA LAVATORIO PVC BRANCA,3.0
VALVULA LAVATORIO PVC CROMADA,10.0
